trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.11057125794194458}",30,0,-46.61961101953625,"{0: 19, 1: 9, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.10835983278310568}",20,0,-43.68340530012682,"{0: 12, 1: 7, 2: 0, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.10619263612744358}",25,0,4.7067960533128375,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.1040687834048947}",25,0,-45.91327913921683,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.1019874077367968}",20,0,-75.42734509467769,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.09994765958206087}",25,0,7.545304647061307,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.09794870639041964}",20,0,-46.89070238498832,"{0: 13, 1: 5, 2: 0, 3: 2, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.09598973226261125}",20,0,-10.802310875232562,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.09406993761735903}",20,0,-10.724153306220089,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.09218853886501184}",30,0,14.471138765261307,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.09034476808771161}",25,0,-68.67864482511278,"{0: 16, 1: 6, 2: 0, 3: 3, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.08853787272595737}",35,0,-1.2480965399994979,"{0: 29, 1: 5, 2: 0, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.08676711527143822}",20,0,-43.12989768580024,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
